csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,errors,sentinels,
TOK,,,,STR_0D,summary/machine,This variable designates which tokamak has supplied the data.,,Name of the experimental device to which this data is related (if relevant),constant,mapped,,identity,,,,,,,summary/machine
LUPDATE,,,,STR_0D,summary/ids_properties/creation_date,The date of the most recent update for any variable listed in the database. The format is YYMMDD (Year-Month-Day) for 1990s and YYYYMMDD for 2000s.,,Date at which this data has been produced,constant,mapped,Formula required to satisfy IDS date format standard,formula,"datetime.strptime(f'{int(LUPDATE):06d}', '%Y%m%d' if int(LUPDATE) > 999999 else '%y%m%d').strftime('%Y-%m-%dT00:00:00Z')",,,,,,summary/ids_properties/creation_date
DATE,,,,STR_0D,summary/pulse_time_begin,The date the shot was taken. The format is YYMMDD or YYYYMMDD.,,"Date and time (UTC) at which the pulse started on the experiment (if relevant), expressed in a human readable form (ISO 8601) : the format of the string shall be : YYYY-MM-DDTHH:MM:SSZ. Example : 2020-07-24T14:19:00Z",constant,mapped,Same as above,formula,"datetime.strptime(f'{int(DATE):06d}', '%Y%m%d' if int(DATE) > 999999 else '%y%m%d').strftime('%Y-%m-%dT00:00:00Z')",,,,,,summary/pulse_time_begin
SHOT,,,,INT_0D,summary/pulse,The shot from which the data are taken.,,Pulse number to which this data is related (if relevant),constant,mapped,,identity,,,,,,,summary/pulse
TIME,,s,,FLT_1D,summary/time(0),Time during the shot at which the data are taken in seconds.,,Generic time,dynamic,mapped,,identity,,,,,,,summary/time
PGASZ,,1,,FLT_1D,summary/volume_average/zeff,Charge number of the plasma working gas.,,Effective charge,dynamic,mapped,,identity,,TRUE,,,,,summary/volume_average/zeff
BGASA,,u,,FLT_0D,summary/heating_current_drive/nbi(0)/species/a,Mass number of the neutral beam gas.,,Mass of atom,constant,mapped,,identity,,TRUE,,,,,summary/heating_current_drive/nbi/species/a
BGASZ,,e,,FLT_0D,summary/heating_current_drive/nbi(0)/species/z_n,Charge number of the neutral beam gas.,,Nuclear charge,constant,mapped,,identity,,TRUE,,,,,summary/heating_current_drive/nbi/species/z_n
BGASA2,,u,,FLT_0D,summary/heating_current_drive/nbi(1)/species/a,Mass number of the second neutral beam gas (JET only).,,Mass of atom,constant,mapped,,identity,,TRUE,,,,,summary/heating_current_drive/nbi/species/a
BGASZ2,,e,,FLT_0D,summary/heating_current_drive/nbi(1)/species/z_n,Charge number of the second neutral beam gas (JET only).,,Nuclear charge,constant,mapped,,identity,,TRUE,,,,,summary/heating_current_drive/nbi/species/z_n
